,id,title,release_date,vote_average
0,278,The Shawshank Redemption,1994-09-23,8.708
1,238,The Godfather,1972-03-14,8.689
2,240,The Godfather Part II,1974-12-20,8.6
3,424,Schindler's List,1993-12-15,8.567
4,389,12 Angry Men,1957-04-10,8.546
5,129,Spirited Away,2001-07-20,8.5
6,19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.522
7,155,The Dark Knight,2008-07-16,8.519
8,497,The Green Mile,1999-12-10,8.506
9,496243,Parasite,2019-05-30,8.5
10,680,Pulp Fiction,1994-09-10,8.488
11,372058,Your Name.,2016-08-26,8.486
12,122,The Lord of the Rings: The Return of the King,2003-12-17,8.483
13,13,Forrest Gump,1994-06-23,8.469
14,429,"The Good, the Bad and the Ugly",1966-12-22,8.5
15,346,Seven Samurai,1954-04-26,8.5
16,769,GoodFellas,1990-09-12,8.458
17,12477,Grave of the Fireflies,1988-04-16,8.453
18,157336,Interstellar,2014-11-05,8.4
19,637,Life Is Beautiful,1997-12-20,8.448
20,278,The Shawshank Redemption,1994-09-23,8.708
21,238,The Godfather,1972-03-14,8.689
22,240,The Godfather Part II,1974-12-20,8.6
23,424,Schindler's List,1993-12-15,8.567
24,389,12 Angry Men,1957-04-10,8.546
25,129,Spirited Away,2001-07-20,8.5
26,19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.522
27,155,The Dark Knight,2008-07-16,8.519
28,497,The Green Mile,1999-12-10,8.506
29,496243,Parasite,2019-05-30,8.5
30,680,Pulp Fiction,1994-09-10,8.488
31,372058,Your Name.,2016-08-26,8.486
32,122,The Lord of the Rings: The Return of the King,2003-12-17,8.483
33,13,Forrest Gump,1994-06-23,8.469
34,429,"The Good, the Bad and the Ugly",1966-12-22,8.5
35,346,Seven Samurai,1954-04-26,8.5
36,769,GoodFellas,1990-09-12,8.458
37,12477,Grave of the Fireflies,1988-04-16,8.453
38,157336,Interstellar,2014-11-05,8.4
39,637,Life Is Beautiful,1997-12-20,8.448
40,278,The Shawshank Redemption,1994-09-23,8.708
41,238,The Godfather,1972-03-14,8.689
42,240,The Godfather Part II,1974-12-20,8.6
43,424,Schindler's List,1993-12-15,8.567
44,389,12 Angry Men,1957-04-10,8.546
45,129,Spirited Away,2001-07-20,8.5
46,19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.522
47,155,The Dark Knight,2008-07-16,8.519
48,497,The Green Mile,1999-12-10,8.506
49,496243,Parasite,2019-05-30,8.5
50,680,Pulp Fiction,1994-09-10,8.488
51,372058,Your Name.,2016-08-26,8.486
52,122,The Lord of the Rings: The Return of the King,2003-12-17,8.483
53,13,Forrest Gump,1994-06-23,8.469
